code,title,category,code_prefix,base_image,images_B,images_BR,images_W,images_N,images_C,short_description,full_description,additional_information,glass_type,glazing,tinting,width_mm,height_mm,base_price,metadata,related_codes,reviews_json
ASD887,"Aluminium Sliding Door 1 Panel","Doors",ASD887,/images/ASD887/ASD887O.png,"/images/ASD887/ASD887O.png;/images/ASD887/ASD887C.png","/images/ASD887/ASD887O.png;/images/ASD887/ASD887C.png","/images/ASD887/ASD887O.png;/images/ASD887/ASD887C.png","/images/ASD887/ASD887O.png;/images/ASD887/ASD887C.png","/images/ASD887/ASD887O.png;/images/ASD887/ASD887C.png","Aluminium Sliding Door 1 Panel W2400mm x H2100mm","Aluminium Sliding Door 1 Panel W2400mm x H2100mm. Single sliding panel.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.", "Clear - 4mm", "Single Glazed", "Standard Tint",2400,2100,4500,{},, 
ASD888,"Aluminium Sliding Door 1 Panel","Doors",ASD888,/images/ASD888/ASD888O.png,"/images/ASD888/ASD888O.png;/images/ASD888/ASD888C.png","/images/ASD888/ASD888O.png;/images/ASD888/ASD888C.png","/images/ASD888/ASD888O.png;/images/ASD888/ASD888C.png","/images/ASD888/ASD888O.png;/images/ASD888/ASD888C.png","/images/ASD888/ASD888O.png;/images/ASD888/ASD888C.png","Aluminium Sliding Door 1 Panel","Aluminium Sliding Door 1 Panel W2400mm x H2100mm.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",2000,2100,3500,{},, 
ASD889,"Aluminium Sliding Door 1 Panel","Doors",ASD889,/images/ASD889/ASD889O.png,"/images/ASD889/ASD889O.png;/images/ASD889/ASD889C.png","/images/ASD889/ASD889O.png;/images/ASD889/ASD889C.png","/images/ASD889/ASD889O.png;/images/ASD889/ASD889C.png","/images/ASD889/ASD889O.png;/images/ASD889/ASD889C.png","/images/ASD889/ASD889O.png;/images/ASD889/ASD889C.png","Aluminium Sliding Door 1 Panel (W1500 x H2100)","Aluminium Sliding Door single panel — W1500 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",1500,2100,2900,{},, 
ASD890,"Double Hinged Aluminium Door","Doors",ASD890,/images/ASD890/ASD890O.png,"/images/ASD890/ASD890O.png;/images/ASD890/ASD890C.png","/images/ASD890/ASD890O.png;/images/ASD890/ASD890C.png","/images/ASD890/ASD890O.png;/images/ASD890/ASD890C.png","/images/ASD890/ASD890O.png;/images/ASD890/ASD890C.png","/images/ASD890/ASD890O.png;/images/ASD890/ASD890C.png","Double Hinged Door Aluminium","Double hinged aluminium door — W1800 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",1800,2100,7500,{},, 
ASD891,"Aluminium Sliding Door 2 Panels","Doors",ASD891,/images/ASD891/ASD891O.png,"/images/ASD891/ASD891O.png;/images/ASD891/ASD891C.png","/images/ASD891/ASD891O.png;/images/ASD891/ASD891C.png","/images/ASD891/ASD891O.png;/images/ASD891/ASD891C.png","/images/ASD891/ASD891O.png;/images/ASD891/ASD891C.png","/images/ASD891/ASD891O.png;/images/ASD891/ASD891C.png","Aluminium Sliding Door 2 Panels","Aluminium Sliding Door — 2 panels, W4800 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",4800,2100,10500,{},, 
ASD892,"Aluminium Folding Door 3 Panel Left Hand Opening","Doors",ASD892,/images/ASD892/ASD892O.png,"/images/ASD892/ASD892O.png;/images/ASD892/ASD892C.png","/images/ASD892/ASD892O.png;/images/ASD892/ASD892C.png","/images/ASD892/ASD892O.png;/images/ASD892/ASD892C.png","/images/ASD892/ASD892O.png;/images/ASD892/ASD892C.png","/images/ASD892/ASD892O.png;/images/ASD892/ASD892C.png","Aluminium Folding Door 3 Panel Left Hand Opening","Aluminium Folding Door — 3 panel left hand, W1800 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",1800,2100,12550,{},, 
ASD893,"Aluminium 2 Panel Sliding Door (both panels slide)","Doors",ASD893,/images/ASD893/ASD893O.png,"/images/ASD893/ASD893O.png;/images/ASD893/ASD893C.png","/images/ASD893/ASD893O.png;/images/ASD893/ASD893C.png","/images/ASD893/ASD893O.png;/images/ASD893/ASD893C.png","/images/ASD893/ASD893O.png;/images/ASD893/ASD893C.png","/images/ASD893/ASD893O.png;/images/ASD893/ASD893C.png","Aluminium 2 Panel Sliding Door (both panels slide)","Aluminium 2 panel sliding door, both panels slide — W3000 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",3000,2100,8200,{},, 
ASD894,"Aluminium Sliding Door 1 Panel","Doors",ASD894,/images/ASD894/ASD894O.png,"/images/ASD894/ASD894O.png;/images/ASD894/ASD894C.png","/images/ASD894/ASD894O.png;/images/ASD894/ASD894C.png","/images/ASD894/ASD894O.png;/images/ASD894/ASD894C.png","/images/ASD894/ASD894O.png;/images/ASD894/ASD894C.png","/images/ASD894/ASD894O.png;/images/ASD894/ASD894C.png","Aluminium Sliding Door 1 Panel","Aluminium sliding door (1 panel) — W3000 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",3000,2100,5200,{},, 
ASD896,"Aluminium Folding Door 3 Panel Left Hand Opening","Doors",ASD896,/images/ASD896/ASD896O.png,"/images/ASD896/ASD896O.png;/images/ASD896/ASD896C.png","/images/ASD896/ASD896O.png;/images/ASD896/ASD896C.png","/images/ASD896/ASD896O.png;/images/ASD896/ASD896C.png","/images/ASD896/ASD896O.png;/images/ASD896/ASD896C.png","/images/ASD896/ASD896O.png;/images/ASD896/ASD896C.png","Aluminium Folding Door 3 Panel Left Hand Opening","Aluminium folding door 3 panel left — W2400 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",2400,2100,15500,{},, 
ASD897,"Aluminium Pivot Door (4 horizontal panels)","Doors",ASD897,/images/ASD897/ASD897O.png,"/images/ASD897/ASD897O.png;/images/ASD897/ASD897C.png","/images/ASD897/ASD897O.png;/images/ASD897/ASD897C.png","/images/ASD897/ASD897O.png;/images/ASD897/ASD897C.png","/images/ASD897/ASD897O.png;/images/ASD897/ASD897C.png","/images/ASD897/ASD897O.png;/images/ASD897/ASD897C.png","Aluminium Pivot Door Bronze 4 Horizontal Panel","Aluminium pivot door — 4 horizontal panels, W1200 x H2100.","Colour: Charcoal, Bronze, White. Glass: Clear - 4mm.","Clear - 4mm","Single Glazed","Standard Tint",1200,2100,6500,{},, 
